Player,Nation,Pos,Squad,Age,birth_year,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Massimo Luongo,au AUS,MF,Ipswich Town,32-217,1992,9,2,196,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mateo Kovačić,hr CRO,MF,Manchester City,30-359,1994,28,22,"1,960",21.8,6,1,7,6,0,0,5,0,1.7,1.7,3.5,5.2,51,142,15,0.28,0.05,0.32,0.28,0.32,0.08,0.16,0.24,0.08,0.24,Matches
Mateus Fernandes,pt POR,MF,Southampton,20-294,2004,32,30,"2,584",28.7,2,3,5,2,0,0,8,0,3.7,3.7,2.6,6.3,72,130,99,0.07,0.10,0.17,0.07,0.17,0.13,0.09,0.22,0.13,0.22,Matches
Matheus Cunha,br BRA,"MF,FW",Wolves,25-338,1999,29,26,"2,341",26.0,15,6,21,15,0,0,3,0,7.9,7.9,7.3,15.2,103,129,144,0.58,0.23,0.81,0.58,0.81,0.30,0.28,0.58,0.30,0.58,Matches
Matheus Nunes,pt POR,"DF,MF",Manchester City,26-246,1998,23,16,"1,404",15.6,1,5,6,1,0,0,4,0,0.9,0.9,4.2,5.1,56,66,151,0.06,0.32,0.38,0.06,0.38,0.06,0.27,0.33,0.06,0.33,Matches
Mathias Jensen,dk DEN,MF,Brentford,29-119,1996,19,8,770,8.6,0,2,2,0,0,0,2,0,0.2,0.2,1.6,1.8,6,55,26,0.00,0.23,0.23,0.00,0.23,0.03,0.19,0.22,0.03,0.22,Matches
Mathys Tel,fr FRA,FW,Tottenham,20-003,2005,9,7,559,6.2,2,0,2,1,1,1,0,0,2.2,1.4,0.9,2.3,16,13,50,0.32,0.00,0.32,0.16,0.16,0.35,0.15,0.50,0.22,0.37,Matches
Mats Wieffer,nl NED,"MF,DF",Brighton,25-165,1999,21,6,692,7.7,1,2,3,1,0,0,4,0,0.7,0.7,1.3,2.1,12,49,17,0.13,0.26,0.39,0.13,0.39,0.10,0.17,0.27,0.10,0.27,Matches
Matt Doherty,ie IRL,DF,Wolves,33-104,1992,27,22,"1,901",21.1,2,1,3,2,0,0,6,0,1.0,1.0,1.5,2.5,29,75,39,0.09,0.05,0.14,0.09,0.14,0.05,0.07,0.12,0.05,0.12,Matches
Matt O'Riley,dk DEN,MF,Brighton,24-160,2000,17,9,758,8.4,1,1,2,1,0,0,1,0,2.0,2.0,1.5,3.5,17,33,45,0.12,0.12,0.24,0.12,0.24,0.23,0.18,0.41,0.23,0.41,Matches
Matthijs de Ligt,nl NED,DF,Manchester Utd,25-261,1999,28,24,"2,089",23.2,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.09,0.00,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,Matches
Matty Cash,pl POL,DF,Aston Villa,27-266,1997,23,20,"1,710",19.0,1,1,2,1,0,0,6,0,0.3,0.3,1.1,1.4,44,38,70,0.05,0.05,0.11,0.05,0.11,0.02,0.06,0.07,0.02,0.07,Matches
Matz Sels,be BEL,GK,Nott'ham Forest,33-063,1992,33,33,"2,970",33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Max Kilman,eng ENG,DF,West Ham,27-342,1997,34,34,"2,988",33.2,0,1,1,0,0,0,4,0,1.4,1.4,1.2,2.6,29,106,6,0.00,0.03,0.03,0.00,0.03,0.04,0.04,0.08,0.04,0.08,Matches
Maxence Lacroix,fr FRA,DF,Crystal Palace,25-024,2000,31,31,"2,756",30.6,1,1,2,1,0,0,5,0,2.8,2.8,0.8,3.6,8,59,7,0.03,0.03,0.07,0.03,0.07,0.09,0.02,0.12,0.09,0.12,Matches
Michael Kayode,it ITA,DF,Brentford,20-294,2004,7,1,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,2,10,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches
Michael Keane,eng ENG,DF,Everton,32-109,1993,11,9,852,9.5,2,0,2,2,0,0,5,0,0.4,0.4,0.1,0.5,1,12,3,0.21,0.00,0.21,0.21,0.21,0.05,0.01,0.06,0.05,0.06,Matches
Michail Antonio,jm JAM,FW,West Ham,35-033,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches
Micky van de Ven,nl NED,DF,Tottenham,24-011,2001,12,11,950,10.6,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.7,8,51,1,0.00,0.19,0.19,0.00,0.19,0.05,0.11,0.16,0.05,0.16,Matches
Miguel Almirón,py PAR,FW,Newcastle Utd,31-079,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.45,0.30,0.45,Matches
Mikel Merino,es ESP,"MF,FW",Arsenal,28-312,1996,25,15,"1,401",15.6,6,2,8,6,0,0,2,0,4.4,4.4,1.9,6.3,9,61,86,0.39,0.13,0.51,0.39,0.51,0.28,0.12,0.40,0.28,0.40,Matches
Mikey Moore,eng ENG,"FW,MF",Tottenham,17-262,2007,7,2,185,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,9,7,30,0.00,0.49,0.49,0.00,0.49,0.10,0.16,0.26,0.10,0.26,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-301,2000,33,29,"2,495",27.7,2,10,12,2,0,0,2,0,2.6,2.6,7.3,9.9,62,204,115,0.07,0.36,0.43,0.07,0.43,0.09,0.26,0.36,0.09,0.36,Matches
Milos Kerkez,hu HUN,DF,Bournemouth,21-174,2003,34,34,"2,987",33.2,2,5,7,2,0,0,4,0,0.5,0.5,3.4,3.9,93,143,163,0.06,0.15,0.21,0.06,0.21,0.02,0.10,0.12,0.01,0.12,Matches
Mohamed Salah,eg EGY,FW,Liverpool,32-319,1992,34,34,"3,011",33.5,28,18,46,19,9,9,1,0,23.9,16.9,12.8,29.7,142,129,425,0.84,0.54,1.37,0.57,1.11,0.71,0.38,1.10,0.50,0.89,Matches
Mohammed Kudus,gh GHA,"FW,MF",West Ham,24-271,2000,28,28,"2,331",25.9,4,2,6,4,0,0,1,1,6.5,6.5,2.3,8.8,88,74,194,0.15,0.08,0.23,0.15,0.23,0.25,0.09,0.34,0.25,0.34,Matches
Moisés Caicedo,ec ECU,MF,Chelsea,23-179,2001,34,34,"2,991",33.2,1,2,3,1,0,0,10,0,0.8,0.8,2.9,3.7,38,194,33,0.03,0.06,0.09,0.03,0.09,0.02,0.09,0.11,0.02,0.11,Matches
Morato,br BRA,DF,Nott'ham Forest,23-304,2001,23,5,799,8.9,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0,14,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-093,2000,29,29,"2,377",26.4,5,7,12,5,0,0,9,1,4.6,4.6,4.4,9.0,63,139,115,0.19,0.27,0.45,0.19,0.45,0.18,0.17,0.34,0.18,0.34,Matches
Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22-278,2002,33,33,"2,763",30.7,8,8,16,8,0,0,9,0,6.1,6.1,6.9,13.0,102,113,171,0.26,0.26,0.52,0.26,0.52,0.20,0.22,0.42,0.20,0.42,Matches
Murillo,br BRA,DF,Nott'ham Forest,22-300,2002,32,32,"2,838",31.5,1,0,1,1,0,0,5,0,1.2,1.2,1.1,2.3,19,100,4,0.03,0.00,0.03,0.03,0.03,0.04,0.03,0.07,0.04,0.07,Matches
Mykhailo Mudryk,ua UKR,FW,Chelsea,24-115,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73,Matches
Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-216,2006,19,12,"1,078",12.0,1,0,1,1,0,0,2,2,0.1,0.1,0.3,0.5,29,57,32,0.08,0.00,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,Matches
Nathan Aké,nl NED,DF,Manchester City,30-071,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-025,1998,16,6,605,6.7,1,0,1,1,0,0,1,0,1.5,1.5,0.6,2.1,17,12,27,0.15,0.00,0.15,0.15,0.15,0.22,0.10,0.32,0.22,0.32,Matches
Nathan Collins,ie IRL,DF,Brentford,24-000,2001,33,33,"2,970",33.0,2,2,4,2,0,0,5,0,2.5,2.5,1.5,4.0,25,112,18,0.06,0.06,0.12,0.06,0.12,0.08,0.05,0.12,0.08,0.12,Matches
Nathan Patterson,sct SCO,DF,Everton,23-196,2001,9,2,266,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,5,9,10,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.14,0.02,0.14,Matches
Nathan Wood-Gordon,eng ENG,DF,Southampton,22-334,2002,9,7,624,6.9,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,17,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-025,1991,13,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
Neco Williams,wls WAL,DF,Nott'ham Forest,24-017,2001,30,23,"2,144",23.8,1,2,3,1,0,0,5,0,2.2,2.2,1.4,3.6,54,70,81,0.04,0.08,0.13,0.04,0.13,0.09,0.06,0.15,0.09,0.15,Matches
Neto,br BRA,GK,Bournemouth,35-285,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nick Pope,eng ENG,GK,Newcastle Utd,33-011,1992,24,24,"2,160",24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Niclas Füllkrug,de GER,FW,West Ham,32-080,1993,14,4,589,6.5,3,2,5,3,0,0,2,0,1.9,1.9,1.9,3.8,6,9,21,0.46,0.31,0.76,0.46,0.76,0.29,0.29,0.58,0.29,0.58,Matches
Nico O’Reilly,eng ENG,DF,Manchester City,20-040,2005,7,5,456,5.1,2,0,2,2,0,0,0,0,1.2,1.2,0.4,1.5,15,13,23,0.39,0.00,0.39,0.39,0.39,0.23,0.07,0.30,0.23,0.30,Matches
Nicolas Jackson,sn SEN,FW,Chelsea,23-314,2001,28,26,"2,114",23.5,10,5,15,10,0,0,7,0,12.2,12.2,4.3,16.5,46,37,125,0.43,0.21,0.64,0.43,0.64,0.52,0.18,0.70,0.52,0.70,Matches
Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-306,1998,29,19,"1,624",18.0,0,1,1,0,0,0,8,0,1.4,1.4,1.3,2.7,12,63,24,0.00,0.06,0.06,0.00,0.06,0.08,0.07,0.15,0.08,0.15,Matches
Nicolás González,es ESP,MF,Manchester City,23-117,2002,8,8,647,7.2,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.3,5,46,10,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
Nikola Milenković,rs SRB,DF,Nott'ham Forest,27-200,1997,32,32,"2,880",32.0,4,2,6,4,0,0,4,0,3.6,3.6,0.8,4.4,3,47,6,0.12,0.06,0.19,0.12,0.19,0.11,0.03,0.14,0.11,0.14,Matches
Noni Madueke,eng ENG,FW,Chelsea,23-051,2002,28,23,"1,723",19.1,7,3,10,7,0,0,3,0,8.2,8.2,3.9,12.1,133,63,208,0.37,0.16,0.52,0.37,0.52,0.43,0.20,0.63,0.43,0.63,Matches
Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-167,1997,34,31,"2,639",29.3,0,1,1,0,0,0,2,0,0.7,0.7,1.3,2.0,37,102,51,0.00,0.03,0.03,0.00,0.03,0.02,0.05,0.07,0.02,0.07,Matches
Nélson Semedo,pt POR,DF,Wolves,31-165,1993,30,29,"2,576",28.6,0,4,4,0,0,0,7,0,0.8,0.8,2.7,3.4,61,70,107,0.00,0.14,0.14,0.00,0.14,0.03,0.09,0.12,0.03,0.12,Matches
Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-104,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Matches
Ola Aina,ng NGA,DF,Nott'ham Forest,28-204,1996,30,30,"2,569",28.5,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,54,91,52,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05,Matches
Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-136,1996,12,4,450,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,10,35,12,0.00,0.20,0.20,0.00,0.20,0.05,0.03,0.08,0.05,0.08,Matches
Oliver Scarles,eng ENG,DF,West Ham,19-139,2005,14,6,594,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,11,21,39,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Oliver Skipp,eng ENG,MF,Leicester City,24-226,2000,20,7,907,10.1,0,0,0,0,0,0,7,0,0.2,0.2,0.3,0.4,15,29,18,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.02,0.04,Matches
Ollie Watkins,eng ENG,FW,Aston Villa,29-121,1995,34,27,"2,263",25.1,15,7,22,13,2,2,2,0,14.5,13.0,2.9,15.9,50,28,143,0.60,0.28,0.87,0.52,0.80,0.58,0.12,0.70,0.52,0.63,Matches
Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-082,1999,12,11,916,10.2,6,0,6,6,0,0,0,0,4.7,4.7,1.7,6.4,20,26,63,0.59,0.00,0.59,0.59,0.59,0.46,0.17,0.63,0.46,0.63,Matches
Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-182,2003,27,26,"2,223",24.7,3,2,5,3,0,0,5,0,2.3,2.3,2.5,4.8,71,69,131,0.12,0.08,0.20,0.12,0.20,0.09,0.10,0.19,0.09,0.19,Matches
Orel Mangala,be BEL,MF,Everton,27-043,1998,19,14,"1,261",14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0.00,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches
Pablo Sarabia,es ESP,"MF,FW",Wolves,32-354,1992,20,6,690,7.7,3,2,5,3,0,0,3,0,2.9,2.9,1.6,4.5,12,48,51,0.39,0.26,0.65,0.39,0.65,0.38,0.21,0.59,0.38,0.59,Matches
Pape Matar Sarr,sn SEN,MF,Tottenham,22-228,2002,32,18,"1,636",18.2,3,2,5,3,0,0,6,0,3.3,3.3,1.5,4.8,29,79,50,0.17,0.11,0.28,0.17,0.28,0.18,0.08,0.27,0.18,0.27,Matches
Patrick Dorgu,dk DEN,DF,Manchester Utd,20-186,2004,8,7,585,6.5,0,0,0,0,0,0,3,1,0.4,0.4,0.4,0.8,25,21,53,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches
Patson Daka,zm ZAM,"FW,MF",Leicester City,26-203,1998,20,5,647,7.2,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,9,8,33,0.14,0.00,0.14,0.14,0.14,0.17,0.01,0.18,0.17,0.18,Matches
Pau Torres,es ESP,DF,Aston Villa,28-104,1997,20,20,"1,729",19.2,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,33,74,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Paul Onuachu,ng NGA,FW,Southampton,30-337,1994,23,11,984,10.9,4,1,5,4,0,0,4,0,3.3,3.3,0.5,3.8,7,12,39,0.37,0.09,0.46,0.37,0.46,0.30,0.04,0.35,0.30,0.35,Matches
Pedro Neto,pt POR,FW,Chelsea,25-052,2000,31,20,"1,923",21.4,4,4,8,4,0,0,8,0,2.8,2.8,5.4,8.2,110,56,220,0.19,0.19,0.37,0.19,0.37,0.13,0.25,0.38,0.13,0.38,Matches
Pedro Porro,es ESP,DF,Tottenham,25-229,1999,31,26,"2,463",27.4,2,6,8,2,0,0,4,0,1.5,1.5,4.0,5.5,63,147,106,0.07,0.22,0.29,0.07,0.29,0.06,0.15,0.20,0.06,0.20,Matches
Pervis Estupiñán,ec ECU,DF,Brighton,27-099,1998,27,23,"2,132",23.7,1,1,2,1,0,0,5,0,0.9,0.9,2.1,3.0,55,115,104,0.04,0.04,0.08,0.04,0.08,0.04,0.09,0.13,0.04,0.13,Matches
Phil Foden,eng ENG,"MF,FW",Manchester City,24-337,2000,25,19,"1,686",18.7,7,2,9,7,0,0,2,0,5.1,5.1,4.7,9.8,47,95,119,0.37,0.11,0.48,0.37,0.48,0.27,0.25,0.52,0.27,0.52,Matches
Philip Billing,dk DEN,MF,Bournemouth,28-323,1996,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.00,0.00,0.00,0.00,0.00,0.28,0.54,0.82,0.28,0.82,Matches
Radu Drăgușin,ro ROU,DF,Tottenham,23-086,2002,16,14,"1,252",13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Raheem Sterling,eng ENG,"FW,MF",Arsenal,30-143,1994,15,6,432,4.8,0,2,2,0,0,0,1,0,1.3,1.3,0.5,1.8,25,17,71,0.00,0.42,0.42,0.00,0.42,0.27,0.10,0.37,0.27,0.37,Matches
Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,25-242,1999,17,1,264,2.9,1,0,1,1,0,0,1,0,0.9,0.9,0.5,1.4,12,4,15,0.34,0.00,0.34,0.34,0.34,0.32,0.17,0.49,0.32,0.49,Matches
Rasmus Højlund,dk DEN,FW,Manchester Utd,22-085,2003,29,20,"1,744",19.4,4,0,4,4,0,0,2,0,3.8,3.8,1.3,5.1,26,16,83,0.21,0.00,0.21,0.21,0.21,0.20,0.06,0.26,0.20,0.26,Matches
Rayan Aït-Nouri,dz ALG,DF,Wolves,23-328,2001,33,33,"2,775",30.8,4,7,11,4,0,0,7,1,2.4,2.4,4.7,7.1,74,96,156,0.13,0.23,0.36,0.13,0.36,0.08,0.15,0.23,0.08,0.23,Matches
Raúl Jiménez,mx MEX,FW,Fulham,33-360,1991,34,26,"2,134",23.7,10,3,13,7,3,3,4,0,11.2,8.8,2.9,11.7,32,55,117,0.42,0.13,0.55,0.30,0.42,0.47,0.12,0.59,0.37,0.49,Matches
Reece James,eng ENG,"DF,MF",Chelsea,25-143,1999,15,10,835,9.3,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,6,51,9,0.11,0.00,0.11,0.11,0.11,0.03,0.06,0.09,0.03,0.09,Matches
Reiss Nelson,eng ENG,FW,Fulham,25-141,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.20,0.18,0.39,0.20,0.39,Matches
Renato Veiga,pt POR,"DF,MF",Chelsea,21-275,2003,7,1,181,2.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,7,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Ricardo Pereira,pt POR,DF,Leicester City,31-206,1993,8,4,342,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,14,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Riccardo Calafiori,it ITA,DF,Arsenal,22-346,2002,17,11,925,10.3,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,21,54,29,0.19,0.10,0.29,0.19,0.29,0.08,0.03,0.11,0.08,0.11,Matches
Richarlison,br BRA,FW,Tottenham,27-355,1997,12,3,408,4.5,4,1,5,4,0,0,2,0,3.6,3.6,0.9,4.5,8,10,19,0.88,0.22,1.10,0.88,1.10,0.78,0.20,0.98,0.78,0.98,Matches
Rico Lewis,eng ENG,"DF,MF",Manchester City,20-160,2004,26,20,"1,810",20.1,1,2,3,1,0,0,5,1,1.4,1.4,0.3,1.7,36,103,68,0.05,0.10,0.15,0.05,0.15,0.07,0.02,0.08,0.07,0.08,Matches
Robert Sánchez,es ESP,GK,Chelsea,27-163,1997,28,28,"2,520",28.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Robin Olsen,se SWE,GK,Aston Villa,35-112,1990,3,1,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rodrigo Bentancur,uy URU,MF,Tottenham,27-309,1997,23,19,"1,518",16.9,2,0,2,2,0,0,7,0,1.3,1.3,0.4,1.7,26,99,34,0.12,0.00,0.12,0.12,0.12,0.08,0.03,0.10,0.08,0.10,Matches
Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-297,2003,21,6,647,7.2,2,0,2,2,0,0,0,0,0.6,0.6,0.9,1.5,22,24,64,0.28,0.00,0.28,0.28,0.28,0.08,0.13,0.21,0.08,0.21,Matches
Rodrigo Muniz,br BRA,FW,Fulham,23-361,2001,31,8,964,10.7,8,1,9,8,0,0,1,0,5.8,5.8,0.7,6.5,6,27,31,0.75,0.09,0.84,0.75,0.84,0.54,0.07,0.61,0.54,0.61,Matches
Roméo Lavia,be BEL,MF,Chelsea,21-114,2004,12,9,607,6.7,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,3,23,6,0.00,0.15,0.15,0.00,0.15,0.03,0.11,0.14,0.03,0.14,Matches
Ross Barkley,eng ENG,MF,Aston Villa,31-146,1993,17,3,563,6.3,3,1,4,3,0,0,3,0,1.7,1.7,0.6,2.3,14,33,9,0.48,0.16,0.64,0.48,0.64,0.27,0.10,0.37,0.27,0.37,Matches
Ross Stewart,sct SCO,FW,Southampton,28-293,1996,8,2,241,2.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,1,6,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Ryan Christie,sct SCO,MF,Bournemouth,30-067,1995,29,27,"2,117",23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches
Ryan Fraser,sct SCO,"FW,DF",Southampton,31-065,1994,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Ryan Gravenberch,nl NED,MF,Liverpool,22-349,2002,34,34,"2,921",32.5,0,4,4,0,0,0,5,0,1.0,1.0,2.9,3.9,65,168,54,0.00,0.12,0.12,0.00,0.12,0.03,0.09,0.12,0.03,0.12,Matches
Ryan Manning,ie IRL,"DF,MF",Southampton,28-320,1996,22,17,"1,369",15.2,0,1,1,0,0,0,2,0,0.3,0.3,3.0,3.4,13,32,70,0.00,0.07,0.07,0.00,0.07,0.02,0.20,0.22,0.02,0.22,Matches
Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24-347,2000,12,5,414,4.6,4,2,6,4,0,0,0,0,1.6,1.6,0.9,2.5,12,14,47,0.87,0.43,1.30,0.87,1.30,0.34,0.19,0.54,0.34,0.54,Matches
Ryan Yates,eng ENG,MF,Nott'ham Forest,27-160,1997,30,17,"1,775",19.7,2,1,3,2,0,0,9,0,2.3,2.3,1.1,3.4,17,45,12,0.10,0.05,0.15,0.10,0.15,0.11,0.06,0.17,0.11,0.17,Matches
Rúben Dias,pt POR,DF,Manchester City,27-351,1997,23,21,"1,911",21.2,0,0,0,0,0,0,4,0,1.4,1.4,0.3,1.6,34,120,6,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Sam Johnstone,eng ENG,GK,Wolves,32-036,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sam Morsy,eg EGY,MF,Ipswich Town,33-232,1991,29,27,"2,419",26.9,1,1,2,1,0,0,9,0,0.3,0.3,0.8,1.2,14,103,9,0.04,0.04,0.07,0.04,0.07,0.01,0.03,0.04,0.01,0.04,Matches
Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-218,1995,19,13,979,10.9,4,0,4,4,0,0,2,0,3.4,3.4,0.2,3.6,16,18,46,0.37,0.00,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33,Matches
Sander Berge,no NOR,MF,Fulham,27-075,1998,27,23,"2,017",22.4,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,27,110,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches
Sandro Tonali,it ITA,MF,Newcastle Utd,24-357,2000,32,24,"2,270",25.2,3,2,5,3,0,0,5,0,3.6,3.6,1.4,5.0,33,113,47,0.12,0.08,0.20,0.12,0.20,0.14,0.05,0.20,0.14,0.20,Matches
Santiago Bueno,uy URU,DF,Wolves,26-172,1998,27,18,"1,678",18.6,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,28,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Saša Lukić,rs SRB,MF,Fulham,28-260,1996,27,25,"2,079",23.1,0,2,2,0,0,0,12,0,1.0,1.0,2.6,3.6,37,87,29,0.00,0.09,0.09,0.00,0.09,0.04,0.11,0.16,0.04,0.16,Matches
Sean Longstaff,eng ENG,MF,Newcastle Utd,27-182,1997,24,8,797,8.9,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,40,22,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Sepp van den Berg,nl NED,DF,Brentford,23-131,2001,26,24,"2,136",23.7,0,0,0,0,0,0,2,0,1.4,1.4,0.2,1.6,8,66,27,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
Sergio Reguilón,es ESP,DF,Tottenham,28-135,1996,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Simon Adingra,ci CIV,"FW,MF",Brighton,23-119,2002,25,9,888,9.9,2,1,3,2,0,0,0,0,2.2,2.2,1.8,4.0,35,14,114,0.20,0.10,0.30,0.20,0.30,0.22,0.18,0.40,0.22,0.40,Matches
